datetime,Q,year,month,day
1922-03-13,6130,1922,3,13
1922-03-14,6130,1922,3,14
1922-03-15,6290,1922,3,15
1922-03-16,6780,1922,3,16
1922-03-17,10000,1922,3,17
1922-03-18,16800,1922,3,18
1922-03-19,22600,1922,3,19
1922-03-20,24500,1922,3,20
1922-03-21,31200,1922,3,21
1922-03-22,31200,1922,3,22
1922-03-23,24500,1922,3,23
1922-03-24,21200,1922,3,24
1922-03-25,21900,1922,3,25
1922-03-26,21200,1922,3,26
1922-03-27,23700,1922,3,27
1922-03-28,24500,1922,3,28
1922-03-29,24500,1922,3,29
1922-03-30,22200,1922,3,30
1922-03-31,19400,1922,3,31
1922-04-01,17200,1922,4,1
1922-04-02,16000,1922,4,2
1922-04-03,14500,1922,4,3
1922-04-04,13500,1922,4,4
1922-04-05,13000,1922,4,5
1922-04-06,14000,1922,4,6
1922-04-07,16500,1922,4,7
1922-04-08,17800,1922,4,8
1922-04-09,18800,1922,4,9
1922-04-10,18100,1922,4,10
1922-04-11,17800,1922,4,11
1922-04-12,17800,1922,4,12
1922-04-13,18100,1922,4,13
1922-04-14,17500,1922,4,14
1922-04-15,16800,1922,4,15
1922-04-16,15700,1922,4,16
1922-04-17,14800,1922,4,17
1922-04-18,14000,1922,4,18
1922-04-19,14300,1922,4,19
1922-04-20,14000,1922,4,20
1922-04-21,13500,1922,4,21
1922-04-22,12500,1922,4,22
1922-04-23,13500,1922,4,23
1922-04-24,17500,1922,4,24
1922-04-25,24900,1922,4,25
1922-04-26,30700,1922,4,26
1922-04-27,32900,1922,4,27
1922-04-28,36200,1922,4,28
1922-04-29,40000,1922,4,29
1922-04-30,42000,1922,4,30
1922-05-01,42500,1922,5,1
1922-05-02,46600,1922,5,2
1922-05-03,53200,1922,5,3
1922-05-04,55400,1922,5,4
1922-05-05,55400,1922,5,5
1922-05-06,61000,1922,5,6
1922-05-07,62700,1922,5,7
1922-05-08,71700,1922,5,8
1922-05-09,81200,1922,5,9
1922-05-10,86800,1922,5,10
1922-05-11,85100,1922,5,11
1922-05-12,81200,1922,5,12
1922-05-13,72800,1922,5,13
1922-05-14,65500,1922,5,14
1922-05-15,61000,1922,5,15
1922-05-16,56500,1922,5,16
1922-05-17,54300,1922,5,17
1922-05-18,51500,1922,5,18
1922-05-19,50400,1922,5,19
1922-05-20,55400,1922,5,20
1922-05-21,60800,1922,5,21
1922-05-22,65600,1922,5,22
1922-05-23,73800,1922,5,23
1922-05-24,78900,1922,5,24
1922-05-25,83800,1922,5,25
1922-05-26,91100,1922,5,26
1922-05-27,95200,1922,5,27
1922-05-28,103000,1922,5,28
1922-05-29,110000,1922,5,29
1922-05-30,114000,1922,5,30
1922-05-31,116000,1922,5,31
1922-06-01,114000,1922,6,1
1922-06-02,113000,1922,6,2
1922-06-03,107000,1922,6,3
1922-06-04,95700,1922,6,4
1922-06-05,86200,1922,6,5
1922-06-06,81200,1922,6,6
1922-06-07,81200,1922,6,7
1922-06-08,84500,1922,6,8
1922-06-09,88500,1922,6,9
1922-06-10,93500,1922,6,10
1922-06-11,104000,1922,6,11
1922-06-12,108000,1922,6,12
1922-06-13,108000,1922,6,13
1922-06-14,102000,1922,6,14
1922-06-15,99700,1922,6,15
1922-06-16,99100,1922,6,16
1922-06-17,97400,1922,6,17
1922-06-18,87900,1922,6,18
1922-06-19,79500,1922,6,19
1922-06-20,75600,1922,6,20
1922-06-21,75600,1922,6,21
1922-06-22,75000,1922,6,22
1922-06-23,75000,1922,6,23
1922-06-24,72200,1922,6,24
1922-06-25,71700,1922,6,25
1922-06-26,68900,1922,6,26
1922-06-27,65500,1922,6,27
1922-06-28,61600,1922,6,28
1922-06-29,57100,1922,6,29
1922-06-30,55400,1922,6,30
1922-07-01,52100,1922,7,1
1922-07-02,48800,1922,7,2
1922-07-03,46100,1922,7,3
1922-07-04,44000,1922,7,4
1922-07-05,42500,1922,7,5
1922-07-06,36600,1922,7,6
1922-07-07,34800,1922,7,7
1922-07-08,32900,1922,7,8
1922-07-09,31200,1922,7,9
1922-07-10,28200,1922,7,10
1922-07-11,27000,1922,7,11
1922-07-12,25000,1922,7,12
1922-07-13,23100,1922,7,13
1922-07-14,22400,1922,7,14
1922-07-15,21300,1922,7,15
1922-07-16,19300,1922,7,16
1922-07-17,18400,1922,7,17
1922-07-18,16800,1922,7,18
1922-07-19,15400,1922,7,19
1922-07-20,14600,1922,7,20
1922-07-21,13800,1922,7,21
1922-07-22,13100,1922,7,22
1922-07-23,12800,1922,7,23
1922-07-24,11900,1922,7,24
1922-07-25,11200,1922,7,25
1922-07-26,10800,1922,7,26
1922-07-27,10400,1922,7,27
1922-07-28,10400,1922,7,28
1922-07-29,10100,1922,7,29
1922-07-30,9930,1922,7,30
1922-07-31,10100,1922,7,31
1922-08-01,11900,1922,8,1
1922-08-02,12100,1922,8,2
1922-08-03,12400,1922,8,3
1922-08-04,13400,1922,8,4
1922-08-05,14900,1922,8,5
1922-08-06,14100,1922,8,6
1922-08-07,12400,1922,8,7
1922-08-08,11900,1922,8,8
1922-08-09,11700,1922,8,9
1922-08-10,11000,1922,8,10
1922-08-11,9930,1922,8,11
1922-08-12,10600,1922,8,12
1922-08-13,9120,1922,8,13
1922-08-14,8930,1922,8,14
1922-08-15,8740,1922,8,15
1922-08-16,8180,1922,8,16
1922-08-17,8180,1922,8,17
1922-08-18,8550,1922,8,18
1922-08-19,8550,1922,8,19
1922-08-20,11500,1922,8,20
1922-08-21,11000,1922,8,21
1922-08-22,11700,1922,8,22
1922-08-23,12400,1922,8,23
1922-08-24,12400,1922,8,24
1922-08-25,19300,1922,8,25
1922-08-26,17800,1922,8,26
1922-08-27,12600,1922,8,27
1922-08-28,11000,1922,8,28
1922-08-29,10400,1922,8,29
1922-08-30,9320,1922,8,30
1922-08-31,8930,1922,8,31
1922-09-01,8550,1922,9,1
1922-09-02,8740,1922,9,2
1922-09-03,8740,1922,9,3
1922-09-04,10800,1922,9,4
1922-09-05,11700,1922,9,5
1922-09-06,9930,1922,9,6
1922-09-07,8930,1922,9,7
1922-09-08,8930,1922,9,8
1922-09-09,9120,1922,9,9
1922-09-10,8550,1922,9,10
1922-09-11,8180,1922,9,11
1922-09-12,7820,1922,9,12
1922-09-13,7300,1922,9,13
1922-09-14,6960,1922,9,14
1922-09-15,6640,1922,9,15
1922-09-16,6480,1922,9,16
1922-09-17,6320,1922,9,17
1922-09-18,6170,1922,9,18
1922-09-19,5720,1922,9,19
1922-09-20,5580,1922,9,20
1922-09-21,5580,1922,9,21
1922-09-22,5300,1922,9,22
1922-09-23,5300,1922,9,23
1922-09-24,5170,1922,9,24
1922-09-25,5040,1922,9,25
1922-09-26,5040,1922,9,26
1922-09-27,4920,1922,9,27
1922-09-28,4920,1922,9,28
1922-09-29,4790,1922,9,29
1922-09-30,4790,1922,9,30
1922-10-01,4660,1922,10,1
1922-10-02,4540,1922,10,2
1922-10-03,4540,1922,10,3
1922-10-04,4540,1922,10,4
1922-10-05,4660,1922,10,5
1922-10-06,4660,1922,10,6
1922-10-07,4790,1922,10,7
1922-10-08,4790,1922,10,8
1922-10-09,4660,1922,10,9
1922-10-10,4540,1922,10,10
1922-10-11,4540,1922,10,11
1922-10-12,4540,1922,10,12
1922-10-13,4420,1922,10,13
1922-10-14,4420,1922,10,14
1922-10-15,4540,1922,10,15
1922-10-16,4540,1922,10,16
